time,tasmax_day_HadGEM2-ES_rcp45,tasmin_day_HadGEM2-ES_rcp45,relhumid-max_day_HadGEM2-ES_rcp45,relhumid-min_day_HadGEM2-ES_rcp45
2006-05-12 00:00:00+00:00,295.7875366,278.7332153,73.92465973,25.15041351
2006-05-13 00:00:00+00:00,297.1326904,280.4092712,69.31334686,25.4285717
2006-05-14 00:00:00+00:00,298.4222107,281.8866577,71.79149628,26.38982201
2006-05-15 00:00:00+00:00,297.144043,285.0585022,63.62363052,29.21598625
2006-05-16 00:00:00+00:00,295.1654968,284.4056091,67.35449982,32.69600296
2006-05-17 00:00:00+00:00,294.5731812,282.6822815,61.05583191,28.68224525
2006-05-18 00:00:00+00:00,293.048645,280.6004333,79.68442535,33.68505096
2006-05-19 00:00:00+00:00,292.0939331,281.4550476,77.50650024,36.29967117
2006-05-20 00:00:00+00:00,291.4111938,280.9603271,77.97800446,36.06641769
2006-05-21 00:00:00+00:00,292.2032166,280.5118103,75.31008911,33.3144455
2006-05-22 00:00:00+00:00,294.1261292,281.4138489,74.40797424,31.5218029
2006-05-23 00:00:00+00:00,296.3057251,282.0817566,76.16545868,29.71306229
2006-05-24 00:00:00+00:00,299.6426392,282.8627625,68.5194931,23.86109924
2006-05-25 00:00:00+00:00,301.9162903,285.6816101,51.29359436,20.31283379
2006-05-26 00:00:00+00:00,302.4466553,286.0900574,46.02259827,18.92985344
2006-05-27 00:00:00+00:00,301.4316101,284.8283691,58.85929871,21.84073257
2006-05-28 00:00:00+00:00,299.7124023,285.4818726,62.77099609,26.60764694
2006-05-29 00:00:00+00:00,298.7666626,284.707428,66.12601471,27.32794189
2006-05-30 00:00:00+00:00,297.9462585,284.4732361,63.07015228,26.79258728
2006-05-31 00:00:00+00:00,298.0532227,283.9737854,64.4375,25.98441315
2006-06-01 00:00:00+00:00,298.2545166,284.8782654,69.14099884,28.4994545
2006-06-02 00:00:00+00:00,297.3804626,283.9399719,77.56623077,32.3768158
2006-06-03 00:00:00+00:00,296.2738953,282.810791,79.28709412,32.24223328
2006-06-04 00:00:00+00:00,294.9132996,281.7190247,79.48963928,32.36888123
2006-06-05 00:00:00+00:00,294.8067017,282.6200562,73.89399719,31.65351295
2006-06-06 00:00:00+00:00,296.100708,281.954071,79.33753204,30.94262123
2006-06-07 00:00:00+00:00,298.9732361,284.5387878,76.48464203,31.15443039
2006-06-08 00:00:00+00:00,300.9181824,287.8067627,69.45011902,29.72754478
2006-06-09 00:00:00+00:00,304.1234131,287.537262,75.99884033,27.88212204
2006-06-10 00:00:00+00:00,303.6831055,288.3375549,77.21531677,30.36296844
2006-06-11 00:00:00+00:00,303.9521484,286.9630432,78.80400085,29.17531586
2006-06-12 00:00:00+00:00,306.2986145,286.7301331,73.79605103,23.45487022
2006-06-13 00:00:00+00:00,308.2301636,291.8252563,52.47541809,20.11608124
2006-06-14 00:00:00+00:00,305.8241882,290.7876282,61.83637238,25.78351974
2006-06-15 00:00:00+00:00,302.8962097,289.7795105,69.95750427,31.42671394
2006-06-16 00:00:00+00:00,298.8285217,288.1236572,78.35224915,37.3716774
2006-06-17 00:00:00+00:00,298.0974731,287.7794189,76.04666138,36.24009705
2006-06-18 00:00:00+00:00,300.430603,285.9447632,79.56920624,31.04038048
2006-06-19 00:00:00+00:00,301.673645,285.6180115,59.16146088,22.91240883
2006-06-20 00:00:00+00:00,301.6656799,286.5871277,54.52025223,22.86481857
2006-06-21 00:00:00+00:00,303.7785339,286.8157043,62.01266861,23.03795242
2006-06-22 00:00:00+00:00,304.8267822,287.5071716,62.43292236,22.81632423
2006-06-23 00:00:00+00:00,303.8202515,288.4197388,62.24173737,24.29606819
2006-06-24 00:00:00+00:00,302.4344177,287.9983826,57.8020668,24.80735397
2006-06-25 00:00:00+00:00,301.3882141,286.6603394,62.35602188,26.1513958
2006-06-26 00:00:00+00:00,301.1552734,286.3523865,64.15678406,26.36779022
2006-06-27 00:00:00+00:00,305.1410828,288.1286316,53.32373428,20.02009201
2006-06-28 00:00:00+00:00,308.7228088,292.5942078,42.15187836,17.91607666
2006-06-29 00:00:00+00:00,308.7068176,290.7306824,56.28240585,20.58994293
2006-06-30 00:00:00+00:00,310.1574707,294.8345642,43.02250671,18.40276337
2006-07-01 00:00:00+00:00,307.8053589,294.3069153,45.49596024,21.39509583
2006-07-02 00:00:00+00:00,303.7884827,292.1632996,63.57389832,30.38121414
2006-07-03 00:00:00+00:00,301.6847534,289.6390076,80.81907654,36.11813736
2006-07-04 00:00:00+00:00,300.4987488,288.4651184,89.46366882,41.59540939
2006-07-05 00:00:00+00:00,300.3618469,288.4312134,87.60305786,39.27263641
2006-07-06 00:00:00+00:00,301.1619873,289.4163818,72.32511139,32.62442017
2006-07-07 00:00:00+00:00,303.03302,289.0858154,73.17375183,29.88058281
2006-07-08 00:00:00+00:00,305.17099,289.5714111,67.82508087,26.48249245
2006-07-09 00:00:00+00:00,307.152832,289.6268311,59.36314011,21.05813599
2006-07-10 00:00:00+00:00,306.9388123,288.1651306,53.81084824,18.21095848
2006-07-11 00:00:00+00:00,306.8514099,288.3670044,52.71646118,18.25915718
2006-07-12 00:00:00+00:00,306.8704834,288.430603,52.38991547,18.23266602
