time,tasmax_day_CNRM-CM5_rcp45,tasmin_day_CNRM-CM5_rcp45,relhumid-max_day_CNRM-CM5_rcp45,relhumid-min_day_CNRM-CM5_rcp45
2006-08-21 00:00:00+00:00,305.505127,290.0669861,62.82677841,23.69550514
2006-08-22 00:00:00+00:00,305.6297913,289.9557495,57.32360458,22.04343224
2006-08-23 00:00:00+00:00,305.3648376,289.4376831,55.79259109,21.23125267
2006-08-24 00:00:00+00:00,304.7474365,288.7227173,58.39913559,21.88941002
2006-08-25 00:00:00+00:00,304.6896362,289.1996155,61.0920372,23.09921646
2006-08-26 00:00:00+00:00,304.7006836,289.0325928,62.69404984,23.40758133
2006-08-27 00:00:00+00:00,305.3193054,289.875061,56.80218506,22.04640388
2006-08-28 00:00:00+00:00,304.6750793,290.3872986,58.53498077,23.55366135
2006-08-29 00:00:00+00:00,301.9278259,290.0371704,60.80428696,26.83218193
2006-08-30 00:00:00+00:00,300.2579956,286.5330811,75.02109528,29.12332153
2006-08-31 00:00:00+00:00,298.8456421,285.8466797,83.54665375,33.12943268
2006-09-01 00:00:00+00:00,299.8867493,286.5055542,79.56937408,31.1155529
2006-09-02 00:00:00+00:00,302.4325562,287.52771,74.2173233,27.49846077
2006-09-03 00:00:00+00:00,304.9172668,289.7784119,60.24906158,22.80864716
2006-09-04 00:00:00+00:00,306.3151245,290.0859985,55.73988724,20.72914886
2006-09-05 00:00:00+00:00,306.9606934,290.8103638,52.97125244,19.66560555
2006-09-06 00:00:00+00:00,306.683136,289.5777588,49.87598038,18.21426582
2006-09-07 00:00:00+00:00,306.6285095,291.4008179,50.50208282,19.74440575
2006-09-08 00:00:00+00:00,306.5021362,289.9075317,53.19993973,19.58809853
2006-09-09 00:00:00+00:00,303.2002869,287.3806763,56.0226059,21.03234673
2006-09-10 00:00:00+00:00,298.0771179,283.8054199,70.13643646,26.63540268
2006-09-11 00:00:00+00:00,297.1985168,282.723999,73.96969604,27.57321548
2006-09-12 00:00:00+00:00,294.8591919,281.7979736,94.27629089,36.82519913
2006-09-13 00:00:00+00:00,296.0175781,282.6980286,96.92308807,37.9788208
2006-09-14 00:00:00+00:00,299.8943176,285.6333923,73.2605896,27.24988747
2006-09-15 00:00:00+00:00,302.2831726,286.645752,66.0681076,24.08197594
2006-09-16 00:00:00+00:00,301.8085022,285.9818726,71.82841492,25.91172218
2006-09-17 00:00:00+00:00,299.2615356,285.5172729,76.68709564,29.62671089
2006-09-18 00:00:00+00:00,299.1684265,284.2854919,70.64480591,26.48663139
2006-09-19 00:00:00+00:00,298.1318054,285.2276611,78.06011963,31.00592804
