time,relhumid-max_day_CNRM-CM5_rcp45,relhumid-min_day_CNRM-CM5_rcp45,rsds_day_CNRM-CM5_rcp45,tasmax_day_CNRM-CM5_rcp45,tasmin_day_CNRM-CM5_rcp45
2006-04-29 00:00:00+00:00,87.16560364,40.50750732,397.5109863,294.0586548,282.733429
2006-04-30 00:00:00+00:00,84.17951202,40.99175262,363.9963989,293.289917,282.7566833
2006-05-01 00:00:00+00:00,94.07766724,55.85623932,190.8656769,291.1838379,284.2045593
2006-05-02 00:00:00+00:00,91.62582397,46.13175964,328.3721619,292.0560913,282.4336853
2006-05-03 00:00:00+00:00,94.74212646,50.09529877,298.177948,290.3339844,281.401947
2006-05-04 00:00:00+00:00,92.17671204,39.44297028,404.2752686,293.178833,280.4634094
2006-05-05 00:00:00+00:00,85.9140625,35.28178024,428.4402771,294.4479675,280.928772
2006-05-06 00:00:00+00:00,89.68739319,34.87118149,445.6185303,295.6653137,280.4440308
2006-05-07 00:00:00+00:00,92.27351379,44.14575958,230.9733124,293.3839417,282.289978
2006-05-08 00:00:00+00:00,96.31370544,46.08810806,389.0412598,294.2724915,282.4351196
2006-05-09 00:00:00+00:00,84.30104065,25.45719528,441.8978577,301.3180237,282.0770264
2006-05-10 00:00:00+00:00,71.13697815,19.86418915,447.5750732,305.3707886,284.7868652
2006-05-11 00:00:00+00:00,75.05600739,21.481287,447.8803711,306.3348999,285.714447
2006-05-12 00:00:00+00:00,84.65172577,27.76158142,450.7427368,303.1665039,284.5559692
2006-05-13 00:00:00+00:00,78.22832489,25.54810715,477.114563,302.1855164,283.5283203
2006-05-14 00:00:00+00:00,82.77476501,23.03555298,467.6017151,303.6346741,282.4596252
2006-05-15 00:00:00+00:00,69.59721375,23.18968582,451.4371643,304.5049744,285.8520813
2006-05-16 00:00:00+00:00,83.38634491,32.38504028,447.9443665,300.9436035,285.6017761
2006-05-17 00:00:00+00:00,89.02679443,45.53387451,312.9632263,295.1429138,285.2163696
2006-05-18 00:00:00+00:00,87.17835999,54.83048248,138.554245,292.0576172,285.8125
2006-05-19 00:00:00+00:00,86.80982208,50.4622879,228.5805817,292.7277527,285.6316223
2006-05-20 00:00:00+00:00,90.65181732,47.24915695,363.1517944,293.4436646,283.762085
2006-05-21 00:00:00+00:00,92.40176392,37.60778046,415.3829041,297.2621765,282.6860352
2006-05-22 00:00:00+00:00,90.34825897,35.67201233,431.6151733,299.6898193,284.4710693
2006-05-23 00:00:00+00:00,91.69965363,36.6413269,398.2224426,300.0721741,285.0049438
2006-05-24 00:00:00+00:00,89.59745789,37.82083893,439.8069153,298.9995117,285.0566711
2006-05-25 00:00:00+00:00,86.76277161,35.05964279,451.7063599,299.380188,285.0022583
2006-05-26 00:00:00+00:00,88.9358139,37.45776749,353.8799744,298.6846924,285.734314
2006-05-27 00:00:00+00:00,91.35092163,40.63031387,406.9682312,297.5106506,285.178833
2006-05-28 00:00:00+00:00,87.52072906,36.07654572,413.8618164,298.6396179,284.8066711
2006-05-29 00:00:00+00:00,76.45680237,33.06233215,454.2392883,297.6549683,285.1845398
2006-05-30 00:00:00+00:00,72.20886993,29.52147484,470.3863831,297.8626099,284.0499878
2006-05-31 00:00:00+00:00,73.64289093,27.75188255,467.2512817,298.6867676,283.4007263
2006-06-01 00:00:00+00:00,78.2889328,29.31991196,467.9259033,298.7576904,283.7054138
2006-06-02 00:00:00+00:00,83.21453094,30.14868927,441.8551025,298.8605652,282.9950867
2006-06-03 00:00:00+00:00,85.03555298,28.44272995,457.3186951,300.2045593,282.7772522
2006-06-04 00:00:00+00:00,84.06534576,31.20568275,435.7902527,299.5653381,283.9910278
2006-06-05 00:00:00+00:00,83.01087952,32.34897232,450.5238953,299.2427979,284.7537842
2006-06-06 00:00:00+00:00,85.70076752,31.17069626,375.947876,299.2667542,283.4564819
2006-06-07 00:00:00+00:00,79.40853119,29.8877182,428.4371948,299.5075073,283.8345032
2006-06-08 00:00:00+00:00,73.41054535,25.27563095,470.8313599,302.1413574,284.3459473
2006-06-09 00:00:00+00:00,71.54344177,25.79159355,474.1223755,301.4639282,284.505127
2006-06-10 00:00:00+00:00,73.4944458,26.02202225,468.1959839,300.4699097,283.7927856
2006-06-11 00:00:00+00:00,75.18790436,32.99575043,449.1687012,297.6634521,285.0182495
2006-06-12 00:00:00+00:00,77.06226349,35.15499878,442.5302124,296.0724487,284.4692993
2006-06-13 00:00:00+00:00,74.64933777,33.04414749,458.7641602,296.0951538,284.0618896
2006-06-14 00:00:00+00:00,79.8981781,29.8936367,459.8902893,298.089325,283.0540771
2006-06-15 00:00:00+00:00,80.01564789,29.65049744,456.6743164,298.8586426,283.7466125
2006-06-16 00:00:00+00:00,75.88439941,28.64064026,430.9931335,299.4059448,284.2819214
2006-06-17 00:00:00+00:00,70.57350922,32.9318161,251.2296295,298.0446472,286.6306458
2006-06-18 00:00:00+00:00,73.03699493,32.64662933,376.2927856,297.8289795,285.9703064
2006-06-19 00:00:00+00:00,81.23130798,30.32662201,466.5098877,298.9838257,284.0694885
2006-06-20 00:00:00+00:00,75.76379395,31.10905075,460.9214172,298.4409485,284.7742004
2006-06-21 00:00:00+00:00,76.80401611,34.90404129,455.4960022,296.5780334,284.8306274
2006-06-22 00:00:00+00:00,81.10993958,37.43699265,419.9141541,296.2460327,284.6762695
2006-06-23 00:00:00+00:00,88.42273712,37.56265259,407.5122375,297.7938843,285.2086182
2006-06-24 00:00:00+00:00,85.44346619,32.29248428,429.0265198,300.8096313,285.6095276
2006-06-25 00:00:00+00:00,74.27481079,22.39734268,470.7305298,304.6625366,285.2566833
2006-06-26 00:00:00+00:00,50.42093277,13.98906708,398.6480103,309.5846252,288.0387573
2006-06-27 00:00:00+00:00,38.00995255,15.04179955,370.7664185,309.5141296,291.6682434
2006-06-28 00:00:00+00:00,58.00672531,24.0090332,261.4139709,304.9151001,289.7788696
2006-06-29 00:00:00+00:00,57.60899353,22.0159893,373.7576904,306.2679443,289.6708679
2006-06-30 00:00:00+00:00,49.98089981,22.29887581,236.6048584,305.3304749,291.2739258
2006-07-01 00:00:00+00:00,48.17986298,19.58164597,362.0424805,306.8814087,290.763031
2006-07-02 00:00:00+00:00,46.50406647,20.85149002,307.390564,305.7312622,291.3165588
2006-07-03 00:00:00+00:00,54.66482544,22.84617424,398.381012,304.4612122,289.795105
2006-07-04 00:00:00+00:00,52.74010086,24.60120201,220.2704926,303.0763855,290.5869141
2006-07-05 00:00:00+00:00,54.51420975,21.41879463,373.5339966,305.9801025,290.1235352
2006-07-06 00:00:00+00:00,60.80308533,23.54970169,406.6439819,306.4151611,290.8215027
2006-07-07 00:00:00+00:00,64.19179535,26.92792892,389.5231628,304.9933777,291.2691956
2006-07-08 00:00:00+00:00,68.80505371,30.72755814,397.1342468,303.0322571,290.7773132
2006-07-09 00:00:00+00:00,76.96607208,28.73407936,458.1208191,302.3952026,286.8520508
2006-07-10 00:00:00+00:00,83.43361664,29.26946068,459.5682068,303.0214844,286.6863403
2006-07-11 00:00:00+00:00,81.95978546,27.13226509,456.7674561,303.9164124,286.2041931
2006-07-12 00:00:00+00:00,71.9597702,24.21248245,459.2311096,304.0172729,286.4993591
2006-07-13 00:00:00+00:00,72.00046539,27.16394997,453.763916,301.9250183,286.5756531
2006-07-14 00:00:00+00:00,78.6658783,29.92314148,445.7676086,300.3183289,286.1748657
2006-07-15 00:00:00+00:00,85.76242065,34.79579926,433.6627197,299.9311829,286.134491
2006-07-16 00:00:00+00:00,87.1957016,32.13314819,421.0670776,302.1965332,286.2653809
2006-07-17 00:00:00+00:00,80.3265686,28.04792023,413.9864807,304.3265686,287.8676147
2006-07-18 00:00:00+00:00,74.64649963,25.97063446,420.3674927,305.0733948,288.4794312
2006-07-19 00:00:00+00:00,77.20121765,25.67049217,448.5657349,304.8279114,287.6938477
2006-07-20 00:00:00+00:00,76.17205811,23.99566269,450.1707153,305.2103577,286.7711182
2006-07-21 00:00:00+00:00,75.58711243,23.44082832,460.8382874,305.9537964,287.0669861
2006-07-22 00:00:00+00:00,67.21871948,21.41198349,461.9282227,306.3241272,287.6625977
2006-07-23 00:00:00+00:00,65.48474121,20.66301918,466.7955933,306.7099915,288.0395813
2006-07-24 00:00:00+00:00,61.6356926,19.16859818,462.4640503,307.5308228,288.3996887
2006-07-25 00:00:00+00:00,56.79004669,18.99731255,443.6429749,307.3456726,289.4241638
2006-07-26 00:00:00+00:00,53.93818283,19.48851013,424.3248596,306.5585632,289.9371948
2006-07-27 00:00:00+00:00,55.18518066,19.15460205,421.1929321,307.3202515,289.7551575
2006-07-28 00:00:00+00:00,54.98234558,20.3945713,401.5205383,307.6004944,291.1560364
2006-07-29 00:00:00+00:00,54.05778122,18.69304657,425.9527588,308.9572449,291.1594849
2006-07-30 00:00:00+00:00,68.13318634,25.33094215,411.1122437,306.0024719,291.0917053
2006-07-31 00:00:00+00:00,75.65476227,31.73386955,363.0603027,304.1568298,291.7969055
2006-08-01 00:00:00+00:00,76.60539246,35.93095398,319.6682434,302.9119568,292.8783875
2006-08-02 00:00:00+00:00,84.63995361,37.16565323,392.2123413,301.339386,289.8112183
2006-08-03 00:00:00+00:00,87.79492188,37.06712723,410.7345886,300.9033203,287.844696
2006-08-04 00:00:00+00:00,83.55335999,32.72338867,417.7965393,302.5531311,288.6355896
2006-08-05 00:00:00+00:00,76.94749451,26.70204353,428.076355,304.3610229,288.4954834
2006-08-06 00:00:00+00:00,69.02973938,22.51408577,434.4832153,305.5920105,288.0704041
2006-08-07 00:00:00+00:00,60.44090271,20.12948227,426.1826477,306.5765686,288.8171997
2006-08-08 00:00:00+00:00,63.31335831,22.362257,421.7537842,306.0384521,289.5363159
2006-08-09 00:00:00+00:00,64.44813538,25.46869659,393.7431946,305.6598206,291.7149353
2006-08-10 00:00:00+00:00,84.58622742,37.08062744,386.1668396,302.2666321,291.1282043
2006-08-11 00:00:00+00:00,83.58457947,32.12647629,413.9657898,301.3959961,287.9925537
2006-08-12 00:00:00+00:00,75.61965179,26.45115662,414.6617737,303.1975403,287.8259888
2006-08-13 00:00:00+00:00,75.18297577,27.38339996,398.4740295,303.0729065,288.3573608
2006-08-14 00:00:00+00:00,79.63946533,29.97012138,401.2793274,302.1268311,288.0691833
2006-08-15 00:00:00+00:00,80.72194672,30.5272274,412.0558167,301.8165588,287.5149231
2006-08-16 00:00:00+00:00,79.54150391,28.78841782,418.4743347,300.9768066,286.4617004
2006-08-17 00:00:00+00:00,80.37382507,29.97539711,390.5822449,300.3883057,286.3820496
2006-08-18 00:00:00+00:00,76.08084869,26.53628159,392.4154663,302.6174316,286.5527039
2006-08-19 00:00:00+00:00,73.05075836,26.34970665,397.660553,303.369751,288.2376709
2006-08-20 00:00:00+00:00,74.1020813,25.91145325,397.0248413,303.9333191,288.3589478
2006-08-21 00:00:00+00:00,68.73516083,23.3561306,400.7914124,304.9387817,288.3991089
2006-08-22 00:00:00+00:00,67.16912842,22.72929382,403.3070984,305.0094299,288.0490723
2006-08-23 00:00:00+00:00,62.94318008,21.11594582,401.3637085,304.8098145,287.755249
2006-08-24 00:00:00+00:00,66.5933075,21.86408234,392.0204773,304.4290771,287.0262451
2006-08-25 00:00:00+00:00,69.80857086,23.18127441,384.7427673,304.335968,287.3579712
2006-08-26 00:00:00+00:00,69.05836487,23.63664818,377.3111267,303.9239502,287.5762329
2006-08-27 00:00:00+00:00,64.90471649,22.33147812,364.6232605,304.6858826,288.4034119
2006-08-28 00:00:00+00:00,63.15294647,23.20392609,369.7213135,304.4401245,289.1973267
2006-08-29 00:00:00+00:00,68.48084259,28.45955658,330.8151245,301.1077576,288.6592102
2006-08-30 00:00:00+00:00,80.42163849,31.39390564,358.7656555,299.6502686,285.8625488
2006-08-31 00:00:00+00:00,85.74281311,33.98597717,358.6447449,298.3179016,285.3847046
2006-09-01 00:00:00+00:00,86.07524109,32.47806931,382.6532898,299.1352539,284.9688416
2006-09-02 00:00:00+00:00,83.51213074,27.76407623,376.7879944,301.7594299,285.5632019
2006-09-03 00:00:00+00:00,65.15599823,21.75395775,373.2482605,305.0339966,288.184021
2006-09-04 00:00:00+00:00,61.16831207,20.02395821,371.592926,305.7746887,288.4393311
2006-09-05 00:00:00+00:00,61.15139771,19.89117241,368.1799011,306.4443054,288.7791748
2006-09-06 00:00:00+00:00,57.88409805,17.86242294,372.9311523,306.6914673,287.9891663
2006-09-07 00:00:00+00:00,59.47025299,19.91349602,356.1015625,306.2140503,289.0365601
2006-09-08 00:00:00+00:00,57.06729126,19.14317703,360.9092102,306.0778503,288.5690918
2006-09-09 00:00:00+00:00,59.49508667,20.30360222,358.6053467,303.2289734,286.7304993
2006-09-10 00:00:00+00:00,72.90625,26.2526226,357.6349182,298.6173096,283.901062
2006-09-11 00:00:00+00:00,76.55975342,26.81095695,351.9393005,297.4944763,282.4089966
2006-09-12 00:00:00+00:00,87.94120789,34.59316254,303.3554688,295.2953186,282.3048096
2006-09-13 00:00:00+00:00,96.7978363,36.26788712,329.4635925,296.2273254,282.0370178
2006-09-14 00:00:00+00:00,76.07611847,25.62734222,344.711853,299.6131287,283.9923706
2006-09-15 00:00:00+00:00,74.49617004,24.18592834,346.0322571,301.6636353,284.9598999
2006-09-16 00:00:00+00:00,78.91163635,25.50277138,344.943573,301.4200134,284.5081177
2006-09-17 00:00:00+00:00,83.3520813,29.9547863,345.1243591,299.2377625,284.5800781
2006-09-18 00:00:00+00:00,75.75801849,26.6622715,349.3425903,298.7182617,283.5670776
2006-09-19 00:00:00+00:00,83.5319519,34.47964859,235.4352112,297.4645386,285.1647339
2006-09-20 00:00:00+00:00,90.65299988,34.58457184,300.6220398,298.4975586,285.0922241
2006-09-21 00:00:00+00:00,82.05428314,29.96429825,313.8224182,300.9714355,286.8276978
2006-09-22 00:00:00+00:00,74.55989075,24.24604225,331.2018433,303.9528503,286.7759705
2006-09-23 00:00:00+00:00,66.92692566,19.12611389,339.7182617,306.0855713,286.9602661
2006-09-24 00:00:00+00:00,60.53023911,15.74909782,338.8694763,307.7547302,287.4840698
2006-09-25 00:00:00+00:00,62.14498901,16.86998367,339.0596924,308.1365356,287.9666748
2006-09-26 00:00:00+00:00,64.30276489,17.36836243,324.8473206,308.0733337,287.7602844
2006-09-27 00:00:00+00:00,73.89305878,22.31529617,309.7024536,306.558075,288.5950623
2006-09-28 00:00:00+00:00,69.72231293,24.36128235,298.4344482,303.965271,288.5218506
2006-09-29 00:00:00+00:00,78.62345886,28.3517437,311.6782532,301.1314087,286.6865845
2006-09-30 00:00:00+00:00,77.72372437,26.87518692,320.6392822,302.9458313,287.7193298
2006-10-01 00:00:00+00:00,73.05983734,25.94225121,314.5278015,303.7631531,288.7466736
2006-10-02 00:00:00+00:00,62.78676987,22.05465698,323.1876221,303.8396912,288.3739014
2006-10-03 00:00:00+00:00,65.19099426,21.06023407,321.3981018,302.8091736,285.4507751
2006-10-04 00:00:00+00:00,72.45812988,22.82126808,316.3583679,302.8731384,285.4671326
2006-10-05 00:00:00+00:00,70.27322388,20.30977821,317.2134705,304.5375061,285.6149902
2006-10-06 00:00:00+00:00,64.33389282,19.43423462,311.8165283,304.4485474,286.0001831
2006-10-07 00:00:00+00:00,67.43844604,20.79207802,309.1065369,303.9691772,285.591156
2006-10-08 00:00:00+00:00,72.66930389,22.15190697,309.4263,303.1327515,285.1338196
2006-10-09 00:00:00+00:00,60.22191238,16.52732849,307.2428894,305.5747986,286.2249756
2006-10-10 00:00:00+00:00,49.26026535,16.26382065,277.1637878,305.5959167,287.8851929
2006-10-11 00:00:00+00:00,44.87218475,16.26806641,275.2938538,305.1619568,289.322113
2006-10-12 00:00:00+00:00,54.88052368,18.176548,291.0577698,304.4392395,287.8756409
2006-10-13 00:00:00+00:00,72.15922546,23.3365345,289.3714294,302.2192688,285.8323975
2006-10-14 00:00:00+00:00,73.78378296,23.6113205,285.0778198,302.0733337,285.3919983
2006-10-15 00:00:00+00:00,61.38380051,18.61041451,284.171814,303.6037598,285.8784485
2006-10-16 00:00:00+00:00,60.55035019,18.71630096,278.5166931,303.3443298,285.9897766
2006-10-17 00:00:00+00:00,67.31668091,21.32358932,273.6641235,302.2971191,285.1349182
2006-10-18 00:00:00+00:00,73.6031723,22.58316994,274.5053711,301.7536011,284.4186401
2006-10-19 00:00:00+00:00,79.15945435,25.50380135,262.6058044,301.0252075,284.5852661
